month,borough,communitydistrict,refusetonscollected,papertonscollected,mgptonscollected,resorganicstons,schoolorganictons,leavesorganictons,xmastreetons,otherorganicstons,borough_id
2025 / 08,Manhattan,10,5989.02,274.59,246.19,37.64,12.53,,,,1
2025 / 08,Manhattan,11,2359.37,201.61,160.94,20.56,,,,9.31,1
2025 / 08,Manhattan,12,4586.16,382.93,440.24,90.42,,,,,1
2025 / 09,Manhattan,1,1679.17,356.21,216.9,22.15,,,,,1
2025 / 09,Manhattan,2,2164.15,435.39,266.52,53.79,29.38,,,7.57,1
2025 / 09,Manhattan,3,6069.38,447.0,308.78,48.19,39.65,,,,1
2025 / 09,Manhattan,4,3357.06,639.27,307.6,61.97,,,,6.36,1
2025 / 09,Manhattan,5,1789.27,273.34,157.7,23.52,,,,,1
2025 / 09,Manhattan,6,3270.06,715.96,323.23,63.19,,,,,1
2025 / 09,Manhattan,7,4539.97,963.04,641.41,245.79,38.25,,,,1
2025 / 09,Manhattan,8,5473.34,1009.14,653.5,149.43,,,,7.51,1
2025 / 09,Manhattan,9,2201.27,273.51,212.26,50.88,81.66,,,,1
2025 / 09,Manhattan,10,6112.64,277.5,242.77,42.02,52.21,,,,1
2025 / 09,Manhattan,11,2429.75,209.01,158.53,21.41,,,,11.35,1
2025 / 09,Manhattan,12,4838.14,397.89,432.58,79.83,44.3,,,,1
2025 / 10,Manhattan,1,1649.72,400.9,255.82,30.54,,,,,1
2025 / 10,Manhattan,2,2262.19,437.28,281.62,57.31,34.53,,,5.51,1
2025 / 10,Manhattan,3,6087.7,482.47,356.42,61.45,43.25,,,,1
2025 / 10,Manhattan,4,3401.12,709.82,355.4,74.22,,,,7.43,1
2025 / 10,Manhattan,5,1809.53,289.65,166.24,24.32,,,,,1
2025 / 10,Manhattan,6,3310.13,791.93,395.1,75.46,,,,,1
2025 / 10,Manhattan,7,4529.05,989.11,674.37,267.06,46.32,,,,1
2025 / 10,Manhattan,8,5505.39,1106.24,743.48,178.75,,,,5.51,1
2025 / 10,Manhattan,9,2246.7,269.51,238.07,64.61,103.43,,,,1
2025 / 10,Manhattan,10,6207.04,294.06,275.24,49.61,67.25,,,,1
2025 / 10,Manhattan,11,2457.96,228.53,172.93,27.98,,,,8.33,1
2025 / 10,Manhattan,12,4859.83,450.17,472.75,87.66,57.15,,,,1
