CD_ID,DISTRICT,Freq,Tons_Per_Pickup,Rat_Complaints,Median_Income,Population,Monthly_Trash_Tons,Pickup_Time,Exposure_Hours,Exposure_Ratio,Reduction_Factor,Predicted_Rats
111.0,MN11,3,219.80722727890236,6257,40975.0,124499,2855.2958823529416,Evening,4.0,0.3333333333333333,0.33333333333333337,4171.333333333333
101.0,MN01,2,239.73461486211116,486,200000.0,71865,2076.1017647058825,Morning,12.0,1.0,0.0,486.0
110.0,MN10,3,502.770660689218,4205,59061.0,134893,6530.990882352942,Evening,4.0,0.3333333333333333,0.33333333333333337,2803.333333333333
102.0,MN02,2,322.55454421953533,1316,157525.0,86202,2793.322352941176,Morning,12.0,1.0,0.0,1316.0
103.0,MN03,2,766.7773060725445,1833,58967.0,153288,6640.291470588236,Morning,12.0,1.0,0.0,1833.0
108.0,MN08,3,534.5219625956618,3225,153866.0,212308,6943.440294117647,Evening,4.0,0.3333333333333333,0.33333333333333337,2150.0
107.0,MN07,3,467.4010551102658,4367,144026.0,218761,6071.539705882353,Evening,4.0,0.3333333333333333,0.33333333333333337,2911.333333333333
106.0,MN06,2,491.5849748675452,1098,154907.0,145360,4257.1258823529415,Morning,12.0,1.0,0.0,1098.0
104.0,MN04,2,492.78144953131374,1546,116306.0,117099,4267.487352941177,Morning,12.0,1.0,0.0,1546.0
109.0,MN09,3,209.0465063623602,1980,65048.0,112774,2715.514117647059,Evening,4.0,0.3333333333333333,0.33333333333333337,1320.0
112.0,MN12,3,433.67554227233626,2829,67024.0,188591,5633.445294117648,Evening,4.0,0.3333333333333333,0.33333333333333337,1886.0
105.0,MN05,2,240.98858850699628,555,167989.0,51619,2086.961176470588,Morning,12.0,1.0,0.0,555.0
